BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR
QUEENS,ARVERNE,01 ONE FAMILY HOMES,4,220000,264680,265553,307612,2013
QUEENS,ARVERNE,02 TWO FAMILY HOMES,59,232000,568172,621132,904265,2013
QUEENS,ARVERNE,03 THREE FAMILY HOMES,5,220000,398318,300000,639903,2013
QUEENS,ASTORIA,01 ONE FAMILY HOMES,61,200000,611097,590000,999980,2013
QUEENS,ASTORIA,02 TWO FAMILY HOMES,130,210000,734234,747000,1725000,2013
QUEENS,ASTORIA,03 THREE FAMILY HOMES,47,228105,779489,805000,1492500,2013
QUEENS,BAYSIDE,01 ONE FAMILY HOMES,298,200000,660544,621500,2200000,2013
QUEENS,BAYSIDE,02 TWO FAMILY HOMES,106,260000,808880,837500,1500000,2013
QUEENS,BAYSIDE,03 THREE FAMILY HOMES,15,355000,802833,875000,958000,2013
QUEENS,BEECHHURST,01 ONE FAMILY HOMES,45,300000,685705,661500,1200000,2013
QUEENS,BEECHHURST,02 TWO FAMILY HOMES,7,750000,1107571,1140000,1350000,2013
QUEENS,BELLE HARBOR,01 ONE FAMILY HOMES,35,225000,619996,570000,1700000,2013
QUEENS,BELLE HARBOR,02 TWO FAMILY HOMES,26,200000,554184,552500,795000,2013
QUEENS,BELLE HARBOR,03 THREE FAMILY HOMES,1,498000,498000,498000,498000,2013
QUEENS,BELLEROSE,01 ONE FAMILY HOMES,105,210000,455676,455000,890000,2013
QUEENS,BELLEROSE,02 TWO FAMILY HOMES,24,325000,512259,507500,832212,2013
QUEENS,BELLEROSE,03 THREE FAMILY HOMES,1,300000,300000,300000,300000,2013
QUEENS,BRIARWOOD,01 ONE FAMILY HOMES,20,262800,467926,478750,655000,2013
QUEENS,BRIARWOOD,02 TWO FAMILY HOMES,8,405000,573125,562500,770000,2013
QUEENS,BRIARWOOD,03 THREE FAMILY HOMES,6,220000,563333,625000,900000,2013
QUEENS,BROAD CHANNEL,01 ONE FAMILY HOMES,5,250000,380800,380000,500000,2013
QUEENS,BROAD CHANNEL,02 TWO FAMILY HOMES,1,365000,365000,365000,365000,2013
QUEENS,CAMBRIA HEIGHTS,01 ONE FAMILY HOMES,72,215000,346865,353500,658000,2013
QUEENS,CAMBRIA HEIGHTS,02 TWO FAMILY HOMES,4,230000,328500,330000,424000,2013
QUEENS,COLLEGE POINT,01 ONE FAMILY HOMES,66,315000,500717,477500,750000,2013
QUEENS,COLLEGE POINT,02 TWO FAMILY HOMES,100,200000,730745,626500,11100000,2013
QUEENS,COLLEGE POINT,03 THREE FAMILY HOMES,15,470000,675467,650000,984999,2013
QUEENS,CORONA,02 TWO FAMILY HOMES,95,203000,571676,560000,1360000,2013
QUEENS,CORONA,03 THREE FAMILY HOMES,57,306500,661186,677136,1150000,2013
QUEENS,DOUGLASTON,01 ONE FAMILY HOMES,59,420000,977505,767500,2600000,2013
QUEENS,DOUGLASTON,02 TWO FAMILY HOMES,9,745000,880822,845000,1100000,2013
QUEENS,DOUGLASTON,03 THREE FAMILY HOMES,1,555000,555000,555000,555000,2013
QUEENS,EAST ELMHURST,01 ONE FAMILY HOMES,44,200000,416775,410000,1575000,2013
QUEENS,EAST ELMHURST,02 TWO FAMILY HOMES,65,200000,545788,525000,961370,2013
QUEENS,EAST ELMHURST,03 THREE FAMILY HOMES,11,375000,610273,585000,970000,2013
QUEENS,ELMHURST,01 ONE FAMILY HOMES,48,315000,558085,554250,942000,2013
QUEENS,ELMHURST,02 TWO FAMILY HOMES,89,230000,671506,648000,1150000,2013
QUEENS,ELMHURST,03 THREE FAMILY HOMES,58,220000,863840,864250,1400000,2013
QUEENS,FAR ROCKAWAY,01 ONE FAMILY HOMES,43,210000,483187,425000,999000,2013
QUEENS,FAR ROCKAWAY,02 TWO FAMILY HOMES,43,200001,459890,420000,1155074,2013
QUEENS,FAR ROCKAWAY,03 THREE FAMILY HOMES,15,207870,357355,285000,930000,2013
QUEENS,FLORAL PARK,01 ONE FAMILY HOMES,103,225000,504470,500000,850000,2013
QUEENS,FLORAL PARK,02 TWO FAMILY HOMES,3,495000,520000,505000,560000,2013
QUEENS,FLORAL PARK,03 THREE FAMILY HOMES,2,568000,624000,624000,680000,2013
QUEENS,FLUSHING-NORTH,01 ONE FAMILY HOMES,519,200000,641791,625000,1410000,2013
QUEENS,FLUSHING-NORTH,02 TWO FAMILY HOMES,185,200000,774049,780000,1880000,2013
QUEENS,FLUSHING-NORTH,03 THREE FAMILY HOMES,47,263640,916914,900000,1550000,2013
QUEENS,FLUSHING-SOUTH,01 ONE FAMILY HOMES,241,200000,572469,550000,1588000,2013
QUEENS,FLUSHING-SOUTH,02 TWO FAMILY HOMES,68,225000,682688,680000,1150000,2013
QUEENS,FLUSHING-SOUTH,03 THREE FAMILY HOMES,12,350000,848241,811944,2000000,2013
QUEENS,FOREST HILLS,01 ONE FAMILY HOMES,137,330000,1036661,875000,4300000,2013
QUEENS,FOREST HILLS,02 TWO FAMILY HOMES,26,308096,794764,736500,1950000,2013
QUEENS,FOREST HILLS,03 THREE FAMILY HOMES,3,345000,968333,1110000,1450000,2013
QUEENS,FRESH MEADOWS,01 ONE FAMILY HOMES,97,200000,626247,645000,1200000,2013
QUEENS,FRESH MEADOWS,02 TWO FAMILY HOMES,8,605000,781828,709000,1150622,2013
QUEENS,FRESH MEADOWS,03 THREE FAMILY HOMES,2,849000,882000,882000,915000,2013
QUEENS,GLEN OAKS,01 ONE FAMILY HOMES,17,310000,540118,540000,817000,2013
QUEENS,GLEN OAKS,02 TWO FAMILY HOMES,1,617500,617500,617500,617500,2013
QUEENS,GLENDALE,01 ONE FAMILY HOMES,56,260000,485201,470000,800000,2013
QUEENS,GLENDALE,02 TWO FAMILY HOMES,75,200000,525839,519000,900000,2013
QUEENS,GLENDALE,03 THREE FAMILY HOMES,16,435000,625119,613750,860000,2013
QUEENS,HAMMELS,01 ONE FAMILY HOMES,6,235000,306813,312500,365876,2013
QUEENS,HAMMELS,02 TWO FAMILY HOMES,11,217300,357865,345000,602869,2013
QUEENS,HAMMELS,03 THREE FAMILY HOMES,1,200000,200000,200000,200000,2013
QUEENS,HILLCREST,01 ONE FAMILY HOMES,23,375000,511270,510000,675000,2013
QUEENS,HILLCREST,02 TWO FAMILY HOMES,6,285000,499250,537500,587000,2013
QUEENS,HOLLIS,01 ONE FAMILY HOMES,127,200000,354562,365000,675000,2013
QUEENS,HOLLIS,02 TWO FAMILY HOMES,54,212000,403641,410000,655000,2013
QUEENS,HOLLIS,03 THREE FAMILY HOMES,11,250000,464618,420000,700000,2013
QUEENS,HOLLIS HILLS,01 ONE FAMILY HOMES,36,480000,760148,698000,1330000,2013
QUEENS,HOLLISWOOD,01 ONE FAMILY HOMES,39,235000,716436,735000,1230000,2013
QUEENS,HOLLISWOOD,02 TWO FAMILY HOMES,1,240963,240963,240963,240963,2013
QUEENS,HOWARD BEACH,01 ONE FAMILY HOMES,81,200000,534960,524000,1375000,2013
QUEENS,HOWARD BEACH,02 TWO FAMILY HOMES,31,210000,525830,558000,830000,2013
QUEENS,HOWARD BEACH,03 THREE FAMILY HOMES,3,630000,705000,660000,825000,2013
QUEENS,JACKSON HEIGHTS,01 ONE FAMILY HOMES,68,200000,512749,520500,940000,2013
QUEENS,JACKSON HEIGHTS,02 TWO FAMILY HOMES,95,250000,563843,570000,970000,2013
QUEENS,JACKSON HEIGHTS,03 THREE FAMILY HOMES,38,272000,679184,705000,1050000,2013
QUEENS,JAMAICA,01 ONE FAMILY HOMES,21,200000,431987,390000,1425000,2013
QUEENS,JAMAICA,02 TWO FAMILY HOMES,27,240000,480423,498000,800000,2013
QUEENS,JAMAICA,03 THREE FAMILY HOMES,8,404250,677722,632500,937527,2013
QUEENS,JAMAICA BAY,01 ONE FAMILY HOMES,1,230000,230000,230000,230000,2013
QUEENS,JAMAICA BAY,02 TWO FAMILY HOMES,3,339690,387980,386250,438000,2013
QUEENS,JAMAICA ESTATES,01 ONE FAMILY HOMES,54,325000,883484,852500,1800000,2013
QUEENS,JAMAICA ESTATES,02 TWO FAMILY HOMES,2,790000,795000,795000,800000,2013
QUEENS,JAMAICA ESTATES,03 THREE FAMILY HOMES,2,675000,704586,704586,734172,2013
QUEENS,JAMAICA HILLS,01 ONE FAMILY HOMES,16,200000,490106,475000,829500,2013
QUEENS,JAMAICA HILLS,02 TWO FAMILY HOMES,17,200000,521058,550000,850000,2013
QUEENS,JAMAICA HILLS,03 THREE FAMILY HOMES,2,217000,526000,526000,835000,2013
QUEENS,KEW GARDENS,01 ONE FAMILY HOMES,33,247000,698864,645000,1415000,2013
QUEENS,KEW GARDENS,02 TWO FAMILY HOMES,12,245000,518458,523250,701000,2013
QUEENS,KEW GARDENS,03 THREE FAMILY HOMES,4,450000,669500,649500,929000,2013
QUEENS,LAURELTON,01 ONE FAMILY HOMES,102,200000,336707,359380,492000,2013
QUEENS,LAURELTON,02 TWO FAMILY HOMES,30,215000,398054,412500,635000,2013
QUEENS,LITTLE NECK,01 ONE FAMILY HOMES,79,350000,737114,672000,2150000,2013
QUEENS,LITTLE NECK,02 TWO FAMILY HOMES,10,690000,1005215,967550,1272812,2013
QUEENS,LITTLE NECK,03 THREE FAMILY HOMES,2,749250,749625,749625,750000,2013
QUEENS,LONG ISLAND CITY,01 ONE FAMILY HOMES,7,270000,1221429,525000,5300000,2013
QUEENS,LONG ISLAND CITY,02 TWO FAMILY HOMES,31,340000,881598,680000,3054750,2013
QUEENS,LONG ISLAND CITY,03 THREE FAMILY HOMES,6,578000,1154336,975000,1825000,2013
QUEENS,MASPETH,01 ONE FAMILY HOMES,78,225000,471100,485000,782000,2013
QUEENS,MASPETH,02 TWO FAMILY HOMES,96,200000,528486,520000,982000,2013
QUEENS,MASPETH,03 THREE FAMILY HOMES,18,225000,587694,617500,870000,2013
QUEENS,MIDDLE VILLAGE,01 ONE FAMILY HOMES,141,226800,522880,522000,849000,2013
QUEENS,MIDDLE VILLAGE,02 TWO FAMILY HOMES,63,203241,607008,635000,950000,2013
QUEENS,MIDDLE VILLAGE,03 THREE FAMILY HOMES,25,230000,671996,700000,877500,2013
QUEENS,NEPONSIT,01 ONE FAMILY HOMES,28,375000,757793,770000,1585000,2013
QUEENS,OAKLAND GARDENS,01 ONE FAMILY HOMES,60,200000,633570,662500,955000,2013
QUEENS,OAKLAND GARDENS,02 TWO FAMILY HOMES,15,738000,977128,950000,1303360,2013
QUEENS,OAKLAND GARDENS,03 THREE FAMILY HOMES,2,880000,890000,890000,900000,2013
QUEENS,OZONE PARK,01 ONE FAMILY HOMES,82,214000,375240,370500,833612,2013
QUEENS,OZONE PARK,02 TWO FAMILY HOMES,126,200000,443687,443000,720000,2013
QUEENS,OZONE PARK,03 THREE FAMILY HOMES,16,225000,454463,437000,700556,2013
QUEENS,QUEENS VILLAGE,01 ONE FAMILY HOMES,208,200000,356296,359000,689355,2013
QUEENS,QUEENS VILLAGE,02 TWO FAMILY HOMES,57,212000,414691,400000,695000,2013
QUEENS,QUEENS VILLAGE,03 THREE FAMILY HOMES,5,215000,468400,519000,700000,2013
QUEENS,QUEENS-UNKNOWN,03 THREE FAMILY HOMES,1,950000,950000,950000,950000,2013
QUEENS,REGO PARK,01 ONE FAMILY HOMES,62,400000,661626,620000,1125000,2013
QUEENS,REGO PARK,02 TWO FAMILY HOMES,27,200000,772220,740000,1120000,2013
QUEENS,REGO PARK,03 THREE FAMILY HOMES,9,625000,860889,880000,1200000,2013
QUEENS,RICHMOND HILL,01 ONE FAMILY HOMES,146,200000,370394,362750,920681,2013
QUEENS,RICHMOND HILL,02 TWO FAMILY HOMES,165,210000,445726,450000,2100000,2013
QUEENS,RICHMOND HILL,03 THREE FAMILY HOMES,22,350000,510821,520000,740000,2013
QUEENS,RIDGEWOOD,01 ONE FAMILY HOMES,17,210300,425803,450000,565000,2013
QUEENS,RIDGEWOOD,02 TWO FAMILY HOMES,98,225000,560136,545000,1415000,2013
QUEENS,RIDGEWOOD,03 THREE FAMILY HOMES,34,275000,632794,630000,870000,2013
QUEENS,ROCKAWAY PARK,01 ONE FAMILY HOMES,4,315000,379250,376000,450000,2013
QUEENS,ROCKAWAY PARK,02 TWO FAMILY HOMES,10,200000,377926,410000,500000,2013
QUEENS,ROCKAWAY PARK,03 THREE FAMILY HOMES,5,220000,333100,320000,420502,2013
QUEENS,ROSEDALE,01 ONE FAMILY HOMES,92,200000,340330,341000,640479,2013
QUEENS,ROSEDALE,02 TWO FAMILY HOMES,99,210000,444925,437000,650000,2013
QUEENS,ROSEDALE,03 THREE FAMILY HOMES,3,270000,343967,375000,386900,2013
QUEENS,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY HOMES,190,200000,306280,301000,605016,2013
QUEENS,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY HOMES,103,200000,421220,438105,647607,2013
QUEENS,SO. JAMAICA-BAISLEY PARK,03 THREE FAMILY HOMES,1,265000,265000,265000,265000,2013
QUEENS,SOUTH JAMAICA,01 ONE FAMILY HOMES,94,200000,311178,308500,798175,2013
QUEENS,SOUTH JAMAICA,02 TWO FAMILY HOMES,130,200000,365446,370500,545000,2013
QUEENS,SOUTH JAMAICA,03 THREE FAMILY HOMES,15,250000,401110,398500,550000,2013
QUEENS,SOUTH OZONE PARK,01 ONE FAMILY HOMES,139,200000,348342,345000,678000,2013
QUEENS,SOUTH OZONE PARK,02 TWO FAMILY HOMES,103,200000,416745,410000,713000,2013
QUEENS,SOUTH OZONE PARK,03 THREE FAMILY HOMES,3,350000,474667,510000,564000,2013
QUEENS,SPRINGFIELD GARDENS,01 ONE FAMILY HOMES,153,200000,319628,320000,580000,2013
QUEENS,SPRINGFIELD GARDENS,02 TWO FAMILY HOMES,128,200000,406315,425000,690000,2013
QUEENS,SPRINGFIELD GARDENS,03 THREE FAMILY HOMES,1,497500,497500,497500,497500,2013
QUEENS,ST. ALBANS,01 ONE FAMILY HOMES,233,200000,328260,340000,550000,2013
QUEENS,ST. ALBANS,02 TWO FAMILY HOMES,88,210000,374761,367000,808000,2013
QUEENS,SUNNYSIDE,01 ONE FAMILY HOMES,18,250000,612194,629500,820000,2013
QUEENS,SUNNYSIDE,02 TWO FAMILY HOMES,23,325000,712009,700000,1058883,2013
QUEENS,SUNNYSIDE,03 THREE FAMILY HOMES,8,215000,797375,787500,1260000,2013
QUEENS,WHITESTONE,01 ONE FAMILY HOMES,127,210000,713589,648000,2600000,2013
QUEENS,WHITESTONE,02 TWO FAMILY HOMES,46,250000,753240,774000,1350000,2013
QUEENS,WHITESTONE,03 THREE FAMILY HOMES,2,802500,843750,843750,885000,2013
QUEENS,WOODHAVEN,01 ONE FAMILY HOMES,103,200000,368416,360000,910000,2013
QUEENS,WOODHAVEN,02 TWO FAMILY HOMES,78,203000,448734,423350,980000,2013
QUEENS,WOODHAVEN,03 THREE FAMILY HOMES,18,207550,463290,457187,665000,2013
QUEENS,WOODSIDE,01 ONE FAMILY HOMES,22,430000,565659,537000,1050000,2013
QUEENS,WOODSIDE,02 TWO FAMILY HOMES,33,200000,606327,617500,900000,2013
QUEENS,WOODSIDE,03 THREE FAMILY HOMES,20,280000,814070,797500,1849529,2013
STATEN ISLAND,ANNADALE,01 ONE FAMILY HOMES,67,200500,555577,507000,1150000,2013
STATEN ISLAND,ANNADALE,02 TWO FAMILY HOMES,25,200000,647125,680000,765000,2013
STATEN ISLAND,ANNADALE,03 THREE FAMILY HOMES,1,740000,740000,740000,740000,2013
STATEN ISLAND,ARDEN HEIGHTS,01 ONE FAMILY HOMES,141,200000,350274,327500,585000,2013
STATEN ISLAND,ARDEN HEIGHTS,02 TWO FAMILY HOMES,16,288990,514952,465000,880000,2013
STATEN ISLAND,ARROCHAR,01 ONE FAMILY HOMES,12,200000,385410,382650,636406,2013
STATEN ISLAND,ARROCHAR,02 TWO FAMILY HOMES,3,205000,423333,415000,650000,2013
STATEN ISLAND,ARROCHAR-SHORE ACRES,01 ONE FAMILY HOMES,2,490000,698121,698121,906242,2013
STATEN ISLAND,ARROCHAR-SHORE ACRES,02 TWO FAMILY HOMES,6,241000,379485,407500,486720,2013
STATEN ISLAND,BULLS HEAD,01 ONE FAMILY HOMES,68,209000,318751,307500,482500,2013
STATEN ISLAND,BULLS HEAD,02 TWO FAMILY HOMES,39,215000,439146,439000,565000,2013
STATEN ISLAND,BULLS HEAD,03 THREE FAMILY HOMES,3,355000,385000,360000,440000,2013
STATEN ISLAND,CASTLETON CORNERS,01 ONE FAMILY HOMES,83,200000,418515,410000,751468,2013
STATEN ISLAND,CASTLETON CORNERS,02 TWO FAMILY HOMES,14,265000,357786,350750,523000,2013
STATEN ISLAND,CLOVE LAKES,01 ONE FAMILY HOMES,51,255099,473992,431000,965000,2013
STATEN ISLAND,CLOVE LAKES,02 TWO FAMILY HOMES,9,325000,396000,373000,500000,2013
STATEN ISLAND,CONCORD,01 ONE FAMILY HOMES,29,200000,279452,283000,475268,2013
STATEN ISLAND,CONCORD,02 TWO FAMILY HOMES,7,285000,378092,360000,607322,2013
STATEN ISLAND,CONCORD,03 THREE FAMILY HOMES,1,395000,395000,395000,395000,2013
STATEN ISLAND,CONCORD-FOX HILLS,01 ONE FAMILY HOMES,10,200000,227700,216000,310000,2013
STATEN ISLAND,DONGAN HILLS,01 ONE FAMILY HOMES,24,330000,682208,423000,6500000,2013
STATEN ISLAND,DONGAN HILLS,02 TWO FAMILY HOMES,7,341777,531501,560000,738231,2013
STATEN ISLAND,DONGAN HILLS,03 THREE FAMILY HOMES,1,450000,450000,450000,450000,2013
STATEN ISLAND,DONGAN HILLS-COLONY,01 ONE FAMILY HOMES,33,330000,669751,620000,1228000,2013
STATEN ISLAND,DONGAN HILLS-COLONY,02 TWO FAMILY HOMES,6,348000,638333,541500,1275000,2013
STATEN ISLAND,DONGAN HILLS-OLD TOWN,01 ONE FAMILY HOMES,2,365000,397500,397500,430000,2013
STATEN ISLAND,DONGAN HILLS-OLD TOWN,02 TWO FAMILY HOMES,1,382500,382500,382500,382500,2013
STATEN ISLAND,ELTINGVILLE,01 ONE FAMILY HOMES,152,200000,414008,393250,1800000,2013
STATEN ISLAND,ELTINGVILLE,02 TWO FAMILY HOMES,49,240000,563755,545000,840056,2013
STATEN ISLAND,EMERSON HILL,01 ONE FAMILY HOMES,5,380000,648000,680000,820000,2013
STATEN ISLAND,EMERSON HILL,02 TWO FAMILY HOMES,3,370000,408000,427000,427000,2013
STATEN ISLAND,FRESH KILLS,01 ONE FAMILY HOMES,1,300000,300000,300000,300000,2013
STATEN ISLAND,GRANT CITY,01 ONE FAMILY HOMES,34,210000,432489,425000,685000,2013
STATEN ISLAND,GRANT CITY,02 TWO FAMILY HOMES,19,270000,459000,435000,707500,2013
STATEN ISLAND,GRASMERE,01 ONE FAMILY HOMES,35,250000,485321,450000,1200000,2013
STATEN ISLAND,GRASMERE,02 TWO FAMILY HOMES,5,490000,566800,549000,645000,2013
STATEN ISLAND,GREAT KILLS,01 ONE FAMILY HOMES,248,200000,412339,400000,926607,2013
STATEN ISLAND,GREAT KILLS,02 TWO FAMILY HOMES,72,200000,515713,500000,935000,2013
STATEN ISLAND,GREAT KILLS-BAY TERRACE,01 ONE FAMILY HOMES,18,284000,387877,361500,728048,2013
STATEN ISLAND,GREAT KILLS-BAY TERRACE,02 TWO FAMILY HOMES,13,345000,526469,522000,702592,2013
STATEN ISLAND,GRYMES HILL,01 ONE FAMILY HOMES,12,230000,557300,452200,950000,2013
STATEN ISLAND,GRYMES HILL,02 TWO FAMILY HOMES,3,295000,414951,342353,607500,2013
STATEN ISLAND,HUGUENOT,01 ONE FAMILY HOMES,52,262500,528895,496437,926607,2013
STATEN ISLAND,HUGUENOT,02 TWO FAMILY HOMES,32,499000,681218,683705,840056,2013
STATEN ISLAND,LIVINGSTON,01 ONE FAMILY HOMES,16,247200,383895,366500,605000,2013
STATEN ISLAND,LIVINGSTON,02 TWO FAMILY HOMES,4,250000,441063,417625,679000,2013
STATEN ISLAND,LIVINGSTON,03 THREE FAMILY HOMES,1,535000,535000,535000,535000,2013
STATEN ISLAND,MANOR HEIGHTS,01 ONE FAMILY HOMES,52,225000,545928,420950,4380000,2013
STATEN ISLAND,MANOR HEIGHTS,02 TWO FAMILY HOMES,16,225000,430798,454000,550000,2013
STATEN ISLAND,MARINERS HARBOR,01 ONE FAMILY HOMES,37,205000,303154,300000,460000,2013
STATEN ISLAND,MARINERS HARBOR,02 TWO FAMILY HOMES,14,200000,364037,326536,782500,2013
STATEN ISLAND,MARINERS HARBOR,03 THREE FAMILY HOMES,1,315000,315000,315000,315000,2013
STATEN ISLAND,MIDLAND BEACH,01 ONE FAMILY HOMES,47,200000,377544,355000,1000000,2013
STATEN ISLAND,MIDLAND BEACH,02 TWO FAMILY HOMES,12,200000,423093,437500,627000,2013
STATEN ISLAND,MIDLAND BEACH,03 THREE FAMILY HOMES,2,240000,330000,330000,420000,2013
STATEN ISLAND,NEW BRIGHTON,01 ONE FAMILY HOMES,43,205000,361939,342227,625000,2013
STATEN ISLAND,NEW BRIGHTON,02 TWO FAMILY HOMES,22,204750,319849,301000,500000,2013
STATEN ISLAND,NEW BRIGHTON,03 THREE FAMILY HOMES,6,227900,306450,313150,364500,2013
STATEN ISLAND,NEW DORP,01 ONE FAMILY HOMES,54,215000,412340,407500,750000,2013
STATEN ISLAND,NEW DORP,02 TWO FAMILY HOMES,24,265000,462190,440000,650000,2013
STATEN ISLAND,NEW DORP-BEACH,01 ONE FAMILY HOMES,10,200000,318548,357400,418973,2013
STATEN ISLAND,NEW DORP-BEACH,02 TWO FAMILY HOMES,5,285000,355928,370000,417500,2013
STATEN ISLAND,NEW DORP-BEACH,03 THREE FAMILY HOMES,2,205000,227500,227500,250000,2013
STATEN ISLAND,NEW DORP-HEIGHTS,01 ONE FAMILY HOMES,32,200000,570211,474000,1025000,2013
STATEN ISLAND,NEW DORP-HEIGHTS,02 TWO FAMILY HOMES,3,570000,601667,605000,630000,2013
STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY HOMES,72,255000,476088,420000,3720000,2013
STATEN ISLAND,NEW SPRINGVILLE,02 TWO FAMILY HOMES,49,212000,565226,550000,840000,2013
STATEN ISLAND,OAKWOOD,01 ONE FAMILY HOMES,25,335000,490413,417150,982611,2013
STATEN ISLAND,OAKWOOD,02 TWO FAMILY HOMES,4,490000,507000,506500,525000,2013
STATEN ISLAND,OAKWOOD-BEACH,01 ONE FAMILY HOMES,69,200000,1115552,365000,34714978,2013
STATEN ISLAND,OAKWOOD-BEACH,02 TWO FAMILY HOMES,9,417000,566594,540362,744256,2013
STATEN ISLAND,PLEASANT PLAINS,01 ONE FAMILY HOMES,22,220000,562178,560000,966000,2013
STATEN ISLAND,PLEASANT PLAINS,02 TWO FAMILY HOMES,11,522500,726134,735000,849000,2013
STATEN ISLAND,PORT IVORY,01 ONE FAMILY HOMES,4,210000,717500,235000,2190000,2013
STATEN ISLAND,PORT IVORY,02 TWO FAMILY HOMES,2,285000,335536,335536,386072,2013
STATEN ISLAND,PORT RICHMOND,01 ONE FAMILY HOMES,47,200000,304537,294000,610950,2013
STATEN ISLAND,PORT RICHMOND,02 TWO FAMILY HOMES,26,200000,298913,292529,495000,2013
STATEN ISLAND,PORT RICHMOND,03 THREE FAMILY HOMES,2,378000,378000,378000,378000,2013
STATEN ISLAND,PRINCES BAY,01 ONE FAMILY HOMES,33,200000,559429,485000,1600000,2013
STATEN ISLAND,PRINCES BAY,02 TWO FAMILY HOMES,44,300000,617294,557428,950000,2013
STATEN ISLAND,RICHMONDTOWN,01 ONE FAMILY HOMES,33,400000,631547,578000,995000,2013
STATEN ISLAND,RICHMONDTOWN,02 TWO FAMILY HOMES,1,360000,360000,360000,360000,2013
STATEN ISLAND,RICHMONDTOWN-LIGHTHS HILL,01 ONE FAMILY HOMES,6,720000,880333,867500,1157000,2013
STATEN ISLAND,ROSEBANK,01 ONE FAMILY HOMES,57,222000,373042,345000,675000,2013
STATEN ISLAND,ROSEBANK,02 TWO FAMILY HOMES,25,247500,423170,423000,627422,2013
STATEN ISLAND,ROSSVILLE,01 ONE FAMILY HOMES,47,229500,424947,332000,1150000,2013
STATEN ISLAND,ROSSVILLE,02 TWO FAMILY HOMES,32,430000,665136,650000,1211717,2013
STATEN ISLAND,ROSSVILLE-CHARLESTON,01 ONE FAMILY HOMES,21,240000,553784,515000,2000000,2013
STATEN ISLAND,ROSSVILLE-CHARLESTON,02 TWO FAMILY HOMES,3,595000,665833,665000,737500,2013
STATEN ISLAND,ROSSVILLE-CHARLESTON,03 THREE FAMILY HOMES,1,445000,445000,445000,445000,2013
STATEN ISLAND,ROSSVILLE-RICHMOND VALLEY,01 ONE FAMILY HOMES,4,230000,568750,487500,1070000,2013
STATEN ISLAND,ROSSVILLE-RICHMOND VALLEY,02 TWO FAMILY HOMES,6,525000,620000,590000,770000,2013
STATEN ISLAND,SILVER LAKE,01 ONE FAMILY HOMES,32,235000,512353,486000,835000,2013
STATEN ISLAND,SILVER LAKE,02 TWO FAMILY HOMES,6,430000,571978,560000,724000,2013
STATEN ISLAND,SOUTH BEACH,01 ONE FAMILY HOMES,56,205000,377259,372000,539672,2013
STATEN ISLAND,SOUTH BEACH,02 TWO FAMILY HOMES,12,335000,499458,451500,825000,2013
STATEN ISLAND,SOUTH BEACH,03 THREE FAMILY HOMES,3,300000,441667,420000,605000,2013
STATEN ISLAND,STAPLETON,01 ONE FAMILY HOMES,21,200000,330811,260000,1260000,2013
STATEN ISLAND,STAPLETON,02 TWO FAMILY HOMES,15,210000,584608,290616,4075000,2013
STATEN ISLAND,STAPLETON,03 THREE FAMILY HOMES,2,240000,367500,367500,495000,2013
STATEN ISLAND,STAPLETON-CLIFTON,01 ONE FAMILY HOMES,5,237500,270100,245000,320000,2013
STATEN ISLAND,STAPLETON-CLIFTON,02 TWO FAMILY HOMES,2,304000,401500,401500,499000,2013
STATEN ISLAND,STAPLETON-CLIFTON,03 THREE FAMILY HOMES,1,505000,505000,505000,505000,2013
STATEN ISLAND,SUNNYSIDE,01 ONE FAMILY HOMES,27,262500,426212,395000,809508,2013
STATEN ISLAND,SUNNYSIDE,02 TWO FAMILY HOMES,13,350000,470462,479000,570000,2013
STATEN ISLAND,SUNNYSIDE,03 THREE FAMILY HOMES,1,450000,450000,450000,450000,2013
STATEN ISLAND,TODT HILL,01 ONE FAMILY HOMES,23,500000,1244704,1060000,2800000,2013
STATEN ISLAND,TOMPKINSVILLE,01 ONE FAMILY HOMES,10,265000,465150,436250,785000,2013
STATEN ISLAND,TOMPKINSVILLE,02 TWO FAMILY HOMES,7,220000,319394,310000,425000,2013
STATEN ISLAND,TOMPKINSVILLE,03 THREE FAMILY HOMES,1,395000,395000,395000,395000,2013
STATEN ISLAND,TOTTENVILLE,01 ONE FAMILY HOMES,65,217500,480858,400000,1180000,2013
STATEN ISLAND,TOTTENVILLE,02 TWO FAMILY HOMES,54,200000,683002,682500,1300000,2013
STATEN ISLAND,TOTTENVILLE,03 THREE FAMILY HOMES,1,468000,468000,468000,468000,2013
STATEN ISLAND,TRAVIS,01 ONE FAMILY HOMES,35,229114,410047,398700,845000,2013
STATEN ISLAND,TRAVIS,02 TWO FAMILY HOMES,4,391000,465250,460000,550000,2013
STATEN ISLAND,WEST NEW BRIGHTON,01 ONE FAMILY HOMES,76,200000,350020,309000,875000,2013
STATEN ISLAND,WEST NEW BRIGHTON,02 TWO FAMILY HOMES,25,200000,333998,330000,615000,2013
STATEN ISLAND,WEST NEW BRIGHTON,03 THREE FAMILY HOMES,2,295088,382044,382044,469000,2013
